transaction_id,user_id,timestamp,amount,transaction_type,status
TX_10000,USR_1000,2026-02-15 08:00:00,80.44,Autosave Deposit,Completed
TX_10001,USR_1000,2026-02-16 06:00:00,10.78,Withdrawal,Completed
TX_10002,USR_1000,2026-02-16 23:00:00,73.21,Withdrawal,Completed
TX_10003,USR_1000,2026-02-15 12:00:00,131.84,Autosave Deposit,Completed
TX_10004,USR_1000,2026-02-16 17:00:00,81.63,Withdrawal,Completed
TX_10005,USR_1000,2026-02-16 09:00:00,156.15,Autosave Deposit,Completed
TX_10006,USR_1000,2026-02-16 00:00:00,193.0,Withdrawal,Completed
TX_10007,USR_1000,2026-02-16 10:00:00,230.44,Withdrawal,Completed
TX_10008,USR_1001,2026-01-14 02:00:00,36.85,Manual Deposit,Completed
TX_10009,USR_1001,2026-01-14 20:00:00,67.47,Autosave Deposit,Completed
TX_10010,USR_1001,2026-01-15 13:00:00,237.27,Autosave Deposit,Completed
TX_10011,USR_1001,2026-01-15 23:00:00,126.64,Autosave Deposit,Completed
TX_10012,USR_1001,2026-01-15 11:00:00,193.8,Autosave Deposit,Completed
TX_10013,USR_1001,2026-01-15 19:00:00,124.07,Withdrawal,Completed
TX_10014,USR_1001,2026-01-14 11:00:00,73.61,Withdrawal,Completed
TX_10015,USR_1001,2026-01-15 04:00:00,241.45,Withdrawal,Completed
TX_10016,USR_1001,2026-01-15 23:00:00,175.57,Withdrawal,Completed
TX_10017,USR_1001,2026-01-14 20:00:00,105.76,Withdrawal,Completed
TX_10018,USR_1002,2026-01-09 10:00:00,118.36,Autosave Deposit,Completed
TX_10019,USR_1002,2026-01-08 15:00:00,25.37,Autosave Deposit,Completed
TX_10020,USR_1002,2026-01-09 14:00:00,142.94,Withdrawal,Completed
TX_10021,USR_1002,2026-01-08 15:00:00,11.73,Withdrawal,Completed
TX_10022,USR_1002,2026-01-09 17:00:00,24.13,Autosave Deposit,Completed
TX_10023,USR_1002,2026-01-08 03:00:00,216.31,Autosave Deposit,Completed
TX_10024,USR_1002,2026-01-09 09:00:00,67.12,Withdrawal,Completed
TX_10025,USR_1002,2026-01-09 08:00:00,61.42,Autosave Deposit,Completed
TX_10026,USR_1002,2026-01-09 23:00:00,234.52,Withdrawal,Completed
TX_10027,USR_1002,2026-01-09 13:00:00,123.44,Manual Deposit,Completed
TX_10028,USR_1003,2026-02-24 07:00:00,33.26,Manual Deposit,Completed
TX_10029,USR_1003,2026-02-24 23:00:00,111.66,Manual Deposit,Completed
TX_10030,USR_1003,2026-02-25 23:00:00,23.0,Withdrawal,Completed
TX_10031,USR_1003,2026-02-25 18:00:00,33.62,Manual Deposit,Completed
TX_10032,USR_1003,2026-02-25 23:00:00,91.43,Autosave Deposit,Completed
TX_10033,USR_1003,2026-02-24 16:00:00,55.98,Withdrawal,Completed
TX_10034,USR_1004,2026-01-27 04:00:00,54.04,Manual Deposit,Completed
TX_10035,USR_1004,2026-01-26 16:00:00,219.88,Autosave Deposit,Completed
TX_10036,USR_1004,2026-01-27 05:00:00,203.93,Withdrawal,Completed
TX_10037,USR_1004,2026-01-26 07:00:00,22.14,Withdrawal,Completed
TX_10038,USR_1004,2026-01-26 01:00:00,242.56,Autosave Deposit,Completed
TX_10039,USR_1005,2026-01-20 08:00:00,125.53,Manual Deposit,Completed
TX_10040,USR_1005,2026-01-19 04:00:00,49.51,Autosave Deposit,Completed
TX_10041,USR_1005,2026-01-20 01:00:00,73.65,Manual Deposit,Completed
TX_10042,USR_1005,2026-01-19 19:00:00,111.52,Withdrawal,Completed
TX_10043,USR_1005,2026-01-20 12:00:00,168.85,Manual Deposit,Completed
TX_10044,USR_1005,2026-01-19 10:00:00,55.58,Autosave Deposit,Completed
TX_10045,USR_1005,2026-01-19 04:00:00,149.0,Withdrawal,Completed
TX_10046,USR_1005,2026-01-19 04:00:00,189.51,Autosave Deposit,Completed
TX_10047,USR_1005,2026-01-19 04:00:00,150.2,Withdrawal,Completed
TX_10048,USR_1006,2026-01-24 04:00:00,240.59,Autosave Deposit,Completed
TX_10049,USR_1006,2026-01-24 12:00:00,26.45,Autosave Deposit,Completed
TX_10050,USR_1006,2026-01-25 20:00:00,216.84,Manual Deposit,Completed
TX_10051,USR_1006,2026-01-24 08:00:00,235.98,Withdrawal,Completed
TX_10052,USR_1006,2026-01-24 16:00:00,148.94,Autosave Deposit,Completed
TX_10053,USR_1007,2026-01-20 03:00:00,167.77,Withdrawal,Completed
TX_10054,USR_1007,2026-01-20 10:00:00,85.93,Manual Deposit,Completed
TX_10055,USR_1007,2026-01-19 14:00:00,170.73,Manual Deposit,Completed
TX_10056,USR_1007,2026-01-19 16:00:00,73.75,Autosave Deposit,Completed
TX_10057,USR_1008,2026-02-22 21:00:00,232.96,Autosave Deposit,Completed
TX_10058,USR_1008,2026-02-22 01:00:00,119.99,Withdrawal,Completed
TX_10059,USR_1008,2026-02-22 07:00:00,27.58,Autosave Deposit,Completed
TX_10060,USR_1008,2026-02-23 09:00:00,73.65,Manual Deposit,Completed
TX_10061,USR_1008,2026-02-22 05:00:00,221.02,Manual Deposit,Completed
TX_10062,USR_1008,2026-02-22 19:00:00,47.86,Withdrawal,Completed
TX_10063,USR_1008,2026-02-23 22:00:00,82.6,Withdrawal,Completed
TX_10064,USR_1008,2026-02-23 10:00:00,11.88,Withdrawal,Completed
TX_10065,USR_1008,2026-02-22 20:00:00,233.62,Autosave Deposit,Completed
TX_10066,USR_1008,2026-02-22 09:00:00,73.47,Autosave Deposit,Completed
TX_10067,USR_1009,2026-01-16 18:00:00,77.62,Autosave Deposit,Completed
TX_10068,USR_1009,2026-01-17 22:00:00,92.29,Withdrawal,Completed
TX_10069,USR_1009,2026-01-17 17:00:00,214.7,Withdrawal,Completed
TX_10070,USR_1009,2026-01-17 08:00:00,70.27,Autosave Deposit,Completed
TX_10071,USR_1009,2026-01-16 06:00:00,162.23,Manual Deposit,Completed
TX_10072,USR_1010,2026-02-14 22:00:00,195.07,Withdrawal,Completed
TX_10073,USR_1010,2026-02-14 17:00:00,48.78,Manual Deposit,Completed
TX_10074,USR_1010,2026-02-15 12:00:00,179.36,Withdrawal,Completed
TX_10075,USR_1011,2026-02-18 05:00:00,236.81,Withdrawal,Completed
TX_10076,USR_1011,2026-02-18 10:00:00,140.94,Manual Deposit,Completed
TX_10077,USR_1011,2026-02-19 14:00:00,142.61,Manual Deposit,Completed
TX_10078,USR_1011,2026-02-18 09:00:00,20.04,Manual Deposit,Completed
TX_10079,USR_1012,2026-02-28 14:00:00,173.7,Withdrawal,Completed
TX_10080,USR_1012,2026-02-28 07:00:00,94.88,Withdrawal,Completed
TX_10081,USR_1012,2026-03-01 03:00:00,243.72,Withdrawal,Completed
TX_10082,USR_1012,2026-02-28 10:00:00,232.18,Autosave Deposit,Completed
TX_10083,USR_1012,2026-02-28 11:00:00,244.29,Autosave Deposit,Completed
